event_id,time,latitude,longitude,depth_km,magnitude,magnitude_type,region
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlq5&format=quakeml,2023-02-06 09:36:17.151000+00:00,37.3147,36.7946,11.367,4.3,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqc&format=quakeml,2023-02-06 10:07:31.339000+00:00,35.8319,36.162,10.0,4.6,mb,"11 km SE of Yaylada??, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnsz&format=quakeml,2023-02-06 10:12:17.438000+00:00,37.9287,38.3323,17.106,4.4,mb,"13 km SE of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqa&format=quakeml,2023-02-06 10:24:48.811000+00:00,38.0106,37.1962,7.432,7.5,mww,"Elbistan earthquake, Kahramanmaras earthquake sequence"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jm1y&format=quakeml,2023-02-06 10:26:46.742000+00:00,38.0315,38.0984,10.0,6.0,mb,"12 km W of Çelikhan, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnt0&format=quakeml,2023-02-06 10:32:08.932000+00:00,37.9962,37.2033,14.057,5.4,mb,"7 km S of Ekinözü, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqe&format=quakeml,2023-02-06 10:35:58.161000+00:00,38.0249,37.8023,10.0,5.8,mb,"9 km SW of Do?an?ehir, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnwk&format=quakeml,2023-02-06 10:38:57.715000+00:00,37.8722,37.3582,10.0,4.5,mb,"12 km SW of Nurhak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnu5&format=quakeml,2023-02-06 10:44:46.950000+00:00,38.034,37.7967,11.982,4.6,mb,"8 km SW of Do?an?ehir, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnt5&format=quakeml,2023-02-06 10:46:56.782000+00:00,38.039,36.8385,10.0,4.7,mb,"24 km SSW of Af?in, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnw7&format=quakeml,2023-02-06 10:47:41.873000+00:00,38.0443,36.644,10.0,4.7,mb,"13 km ENE of G?ksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnu6&format=quakeml,2023-02-06 10:50:35.934000+00:00,37.9155,37.8106,16.124,4.3,mb,"16 km NW of Tut, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqm&format=quakeml,2023-02-06 10:50:56.892000+00:00,37.6189,37.9263,10.0,4.6,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlql&format=quakeml,2023-02-06 10:51:30.994000+00:00,38.248,38.1847,10.0,5.7,mb,"7 km SW of Ye?ilyurt, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnt6&format=quakeml,2023-02-06 10:55:02.401000+00:00,38.6244,37.3766,10.0,4.3,mb,Central Turkey
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnt4&format=quakeml,2023-02-06 10:56:24.688000+00:00,37.9728,37.3801,10.0,4.6,mb,"5 km W of Nurhak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqy&format=quakeml,2023-02-06 11:01:36.485000+00:00,37.8259,37.4436,13.77,4.8,mb,"15 km S of Nurhak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnt8&format=quakeml,2023-02-06 11:04:38.987000+00:00,38.0723,36.6628,15.349,4.2,mb,"15 km ENE of Göksun, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqr&format=quakeml,2023-02-06 11:05:35.084000+00:00,38.0752,36.7588,5.968,5.1,mb,"23 km SW of Af?in, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jlqx&format=quakeml,2023-02-06 11:11:40.849000+00:00,37.9593,37.3732,10.0,4.9,mb,"5 km W of Nurhak, Turkey"
quakeml:earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000jnt9&format=quakeml,2023-02-06 11:20:24.969000+00:00,38.0274,37.7493,15.64,4.1,mb,Central Turkey
